year,course,location,yardage,par,course_type,grass_green,elevation_ft,winning_score_to_par
2015,Whistling Straits,Kohler WI,7501,72,links,bent,580,-20
2016,Baltusrol (Lower),Springfield NJ,7428,70,parkland,bent,300,-14
2017,Quail Hollow,Charlotte NC,7600,71,parkland,bermuda,750,-8
2018,Bellerive,St Louis MO,7316,70,parkland,bent,560,-16
2019,Bethpage Black,Farmingdale NY,7459,70,parkland,bent,300,-8
2020,TPC Harding Park,San Francisco CA,7234,70,parkland,poa,200,-13
2021,Kiawah Ocean,Kiawah Island SC,7876,72,links,paspalum,10,-6
2022,Southern Hills,Tulsa OK,7556,70,parkland,bent,720,-5
2023,Oak Hill (East),Pittsford NY,7394,70,parkland,bent,520,-9
2024,Valhalla,Louisville KY,7609,71,parkland,bent,490,-21
2025,Quail Hollow,Charlotte NC,7626,71,parkland,bermuda,750,-11
2026,Aronimink,Newtown Square PA,7267,70,parkland,bent,440,
