year,finish,name,score_to_par
2015,1,Jason Day,-20
2015,2,Jordan Spieth,-17
2015,3,Branden Grace,-14
2015,4,Justin Rose,-13
2015,5,Anirban Lahiri,-12
2015,5,George Coetzee,-12
2015,5,Dustin Johnson,-12
2015,8,Tony Finau,-11
2015,9,Brooks Koepka,-10
2015,9,Hiroshi Iwata,-10
2016,1,Jimmy Walker,-14
2016,2,Jason Day,-13
2016,3,Daniel Summerhays,-10
2016,3,Branden Grace,-10
2016,3,Brooks Koepka,-10
2016,3,Henrik Stenson,-10
2016,7,Robert Streb,-8
2016,7,Kevin Kisner,-8
2016,7,Emiliano Grillo,-8
2016,10,Jordan Spieth,-7
2017,1,Justin Thomas,-8
2017,2,Patrick Reed,-6
2017,2,Louis Oosthuizen,-6
2017,2,Francesco Molinari,-6
2017,5,Hideki Matsuyama,-5
2017,6,Rickie Fowler,-3
2017,6,Chris Stroud,-3
2017,6,Kevin Kisner,-3
2017,6,Jason Day,-3
2017,10,Tyrrell Hatton,-2
2018,1,Brooks Koepka,-16
2018,2,Tiger Woods,-14
2018,3,Adam Scott,-13
2018,4,Stewart Cink,-12
2018,5,Jon Rahm,-11
2018,6,Francesco Molinari,-10
2018,6,Justin Thomas,-10
2018,6,Thomas Pieters,-10
2018,6,Gary Woodland,-10
2018,6,Jason Day,-10
2019,1,Brooks Koepka,-8
2019,2,Dustin Johnson,-6
2019,3,Jordan Spieth,-5
2019,3,Patrick Cantlay,-5
2019,3,Matt Wallace,-5
2019,6,Luke List,-3
2019,7,Sungjae Im,-2
2019,7,Adam Scott,-2
2019,7,Justin Rose,-2
2019,10,Brandon Stone,-1
2020,1,Collin Morikawa,-13
2020,2,Paul Casey,-11
2020,2,Dustin Johnson,-11
2020,4,Bryson DeChambeau,-9
2020,4,Scottie Scheffler,-9
2020,6,Tony Finau,-8
2020,6,Daniel Berger,-8
2020,6,Matthew Wolff,-8
2020,9,Jason Day,-7
2020,9,Justin Rose,-7
2020,9,Tommy Fleetwood,-7
2021,1,Phil Mickelson,-6
2021,2,Brooks Koepka,-4
2021,2,Louis Oosthuizen,-4
2021,4,Padraig Harrington,-1
2021,5,Kevin Streelman,0
2021,5,Harry Higgs,0
2021,5,Will Zalatoris,0
2021,8,Rickie Fowler,1
2021,8,Tony Finau,1
2021,8,Shane Lowry,1
2022,1,Justin Thomas,-5
2022,2,Will Zalatoris,-5
2022,3,Mito Pereira,-3
2022,4,Tommy Fleetwood,-2
2022,4,Cameron Young,-2
2022,6,Matt Fitzpatrick,-1
2022,7,Chris Kirk,0
2022,7,Bubba Watson,0
2022,7,Seamus Power,0
2022,7,Cameron Smith,0
2023,1,Brooks Koepka,-9
2023,2,Viktor Hovland,-7
2023,2,Scottie Scheffler,-7
2023,4,Cam Davis,-5
2023,4,Bryson DeChambeau,-5
2023,6,Kurt Kitayama,-4
2023,7,Justin Rose,-3
2023,7,Sahith Theegala,-3
2023,7,Eric Cole,-3
2023,10,Corey Conners,-2
2024,1,Xander Schauffele,-21
2024,2,Bryson DeChambeau,-20
2024,3,Viktor Hovland,-18
2024,4,Collin Morikawa,-16
2024,5,Sahith Theegala,-15
2024,6,Justin Thomas,-13
2024,6,Robert MacIntyre,-13
2024,6,Thomas Detry,-13
2024,9,Tony Finau,-12
2024,9,Tom Kim,-12
2025,1,Scottie Scheffler,-11
2025,2,Bryson DeChambeau,-6
2025,2,Davis Riley,-6
2025,2,Harris English,-6
2025,2,Jhonattan Vegas,-6
2025,6,Si Woo Kim,-5
2025,7,Taylor Pendrith,-4
2025,7,Max Homa,-4
2025,9,Tony Finau,-3
2025,9,Sam Burns,-3
